#AIRPORT
4791;BD;DAC;Dhaka;24.1,90.25
14771;CN;CAN;Guangzhou Baiyun International Apt;23.12,113.26
14924;CN;DLC;Dalian Zhoushuizi International Apt;38.97,121.54
15763;CN;SHA;Shanghai Hongqiao International Apt;31.23,121.47
15880;CN;SZX;Shenzhen Baoan International Apt;22.54,114.05
15884;CN;TAO;Qingdao Liuting International Apt;36.06,120.38
16011;CN;WUH;Wuhan Tianhe International Apt;30.59,114.3
16075;CN;XIY;Xinyi;22.21,110.56
16089;CN;XMN;Xiamen Gaoqi International Apt;24.47,118.08
67370;KR;ICN;Incheon Intl Apt/Seoul;37.27,126.43
104950;CN;STG;Shantou Pt;23.25,116.46
105426;AE;AAN;Al Ain;24.26,55.62
105427;AE;AUH;Abu Dhabi;24.28,54.22
105429;AE;DWC;Dubai World Central Apt;24.53,55.1
105430;AE;DXB;Dubai;25.15,55.16
105445;AF;HEA;Herat;34.21,62.23
105448;AF;KBL;Kabul;34.57,69.21
105455;AF;MZR;Mazar-i-Sharif;36.42,67.06
105486;AO;LAD;Luanda;-34.61,-58.37
105539;AR;EZE;Ministro Pistarini Apt/Buenos Aires;-34.5,-58.31
105566;AR;MDZ;Mendoza;-32.89,-68.85
105636;AT;VDD;Vienna Danubepier Hov;48.25,16.41
105637;AT;VIE;Wien;48.12,16.22
105644;AU;ABX;Albury;-36.05,146.55
105646;AU;ADL;Adelaide;-34.55,138.35
105654;AU;ARM;Armidale;-30.53,151.62
105656;AU;ASP;Alice Springs;-23.81,133.9
105660;AU;AVV;Avalon;-38.04,144.47
105667;AU;AYQ;Ayers Rock;-25.19,130.98
105670;AU;BCI;Barcaldine;-23.57,145.31
105673;AU;BDB;Bundaberg;-24.9,152.32
105687;AU;BKQ;Blackall;-24.43,145.43
105688;AU;BLO;Biloela;-24.4,150.5
105691;AU;BME;Broome;-17.94,122.23
105693;AU;BNE;Brisbane;-27.28,153.01
105694;AU;BNK;Ballina;-28.83,153.56
105720;AU;CBR;Canberra;-35.31,149.2
105733;AU;CFS;Coffs Harbour;-30.32,153.12
105744;AU;CNJ;Cloncurry;-20.67,140.5
105745;AU;CNS;Cairns;-16.89,145.76
105758;AU;CTL;Charleville;-26.41,146.26
105775;AU;DBO;Dubbo;-32.22,148.57
105792;AU;DPO;Devonport;-41.17,146.43
105797;AU;DRW;Darwin;-12.27,130.5
105811;AU;EMD;Emerald;-23.57,148.18
105847;AU;GLT;Gladstone;-23.87,151.22
105866;AU;HBA;Hobart;-42.52,147.18
105869;AU;HID;Horn Island;-10.59,142.29
105885;AU;HTI;Hamilton Island;-20.36,148.95
105888;AU;HVB;Hervey Bay;-25.32,152.88
105899;AU;ISA;Mount Isa;-20.66,139.49
105921;AU;KGI;Kalgoorlie;-30.79,121.46
105937;AU;KTA;Karratha;-20.71,116.77
105946;AU;LDH;Lord Howe Is;-31.54,159.08
105948;AU;LEA;Learmonth;-22.24,114.09
105963;AU;LRE;Longreach;-23.43,144.28
105964;AU;LST;Launceston;-41.55,147.21
105981;AU;MCY;Maroochydore Apt/Sunshine Coast;-26.6,153.09
105983;AU;MEL;Melbourne;-37.49,144.58
106002;AU;MKY;Mackay;-21.09,149.12
106014;AU;MOV;Moranbah;-22.06,148.08
106017;AU;MQL;Mildura;-34.23,142.09
106022;AU;MRZ;Moree;-29.5,149.85
106064;AU;NTL;Newcastle;-32.79,151.83
106081;AU;OOL;Gold Coast Apt/Coolangatta;-28.09,153.3
106089;AU;PBO;Paraburdoo;-23.17,117.75
106097;AU;PHE;Port Hedland;-20.38,118.63
106103;AU;PLO;Port Lincoln;-34.6,135.87
106106;AU;PPP;Proserpine;-20.5,148.55
106107;AU;PQQ;Port Macquarie;-31.44,152.86
106125;AU;RMA;Roma;-26.55,148.77
106128;AU;ROK;Rockhampton;-23.38,150.48
106166;AU;SYD;Sydney;-33.51,151.12
106182;AU;TMW;Tamworth;-31.09,150.93
106186;AU;TSV;Townsville;51.3,4.31
106211;AU;WEI;Weipa;-12.68,141.93
106213;AU;WGA;Wagga Wagga;-35.08,147.21
106256;AU;ZNE;Newman Apt;-23.25,119.48
